@relation segment-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
0.612648,0.0875,0,0,0,0.026616,0.000164,0.058385,0.000751,0.950169,0.946518,0.969806,0.931409,0.529296,0.44799,0.398481,0.969806,0.113055,0.129194,sky
0.051383,0.516667,0,0,0,0.009506,0.000063,0.006211,0.000045,0.020139,0.012156,0.039764,0.007015,0.808594,0.22695,0.481973,0.039764,0.832275,0.183721,window
0.557312,0.716667,0,0.333333,0,0.034221,0.000876,0.034783,0.001072,0.30106,0.293355,0.344624,0.261885,0.716797,0.408983,0.278937,0.344624,0.28154,0.195706,path
0.750988,0.15,0,0,0,0.015209,0.000388,0.024845,0.000278,0.9463,0.940844,0.969806,0.925173,0.517579,0.465721,0.381403,0.969806,0.118399,0.132275,sky
0.442688,0.4875,0,0,0,0.007605,0.000075,0.008696,0.00011,0.005164,0,0.014728,0,0.833985,0.174941,0.540797,0.014728,1,0.160731,foliage
0.897233,0.429167,0,0,0,0.013308,0.000063,0.018634,0.000088,0.041054,0.051054,0.049337,0.022603,0.931641,0.177305,0.442125,0.049337,0.56746,0.320241,brickface
0.051383,0.204167,0,0,0,0.019011,0.000792,0.023603,0.000045,0.134779,0.137764,0.164212,0.100545,0.84961,0.301418,0.322581,0.164212,0.419248,0.240441,brickface
0.948617,0.558333,0,0,0,0,0,0,0,0,0,0,0,0.873047,0.12766,0.578747,0,0,0.515167,window
0.782609,0.358333,0,0.333333,0,0.093156,0.001265,0.01118,0.000132,0.333334,0.335495,0.358615,0.303974,0.777344,0.328605,0.349147,0.358615,0.199351,0.204329,cement
0.897233,0.329167,0,0,0,0.062738,0.002227,0.049689,0.001778,0.117481,0.094003,0.162003,0.092751,0.664063,0.369977,0.392789,0.162003,0.475549,0.155937,window
0.592885,0.733333,0,0,0,0.041825,0.000747,0.045963,0.000751,0.081074,0.068071,0.064065,0.111457,0.751953,0.065012,0.796964,0.105302,0.428363,0.880136,grass
0.932806,0.3,0,0,0,0.024715,0.000422,0.130435,0.015092,0.068939,0.04376,0.112666,0.046765,0.667968,0.35461,0.413662,0.112666,0.676581,0.151278,window
0.027668,0.895833,0,0,0,0.098859,0.002002,0.024845,0.000329,0.125485,0.102107,0.104566,0.169914,0.66211,0.056738,0.897533,0.16053,0.424404,0.899833,grass
0.142292,0.454167,0,0,0,0.028517,0.000347,0.023603,0.000334,0.013426,0.001621,0.029455,0.007794,0.783203,0.208038,0.537002,0.029455,0.962963,0.126263,foliage
0.173913,0.404167,0,0,0.5,0.872624,0.012902,0.609939,0.011491,0.347277,0.304701,0.405007,0.326578,0.449219,0.48818,0.411765,0.405007,0.358975,0.115701,foliage
0.086957,0.866667,0,0,0,0.051331,0.001014,0.038509,0.00067,0.09321,0.079417,0.079529,0.12081,0.742188,0.083924,0.776091,0.114138,0.371914,0.896837,grass
0.16996,0.608333,0,0,0,0.028517,0.000303,0.065838,0.005495,0.169378,0.140194,0.16053,0.206546,0.605469,0.125296,0.842504,0.195139,0.350043,0.955894,grass
0.237154,0.3375,0,0,0,0.043726,0.001072,0.012422,0.000448,0.120321,0.094003,0.170839,0.091972,0.642579,0.399528,0.366225,0.170839,0.499695,0.15778,window
0.399209,0.7,0,0.333333,0,0.062738,0.001544,0.054658,0.001357,0.342888,0.327391,0.396171,0.300857,0.646484,0.465721,0.256167,0.396171,0.282687,0.181716,path
0.869565,0.4,0,0,0,0.039924,0.000213,0.018634,0.000248,0.015492,0.002431,0.035346,0.007015,0.773438,0.22695,0.516129,0.035346,0.94709,0.138402,foliage
0.660079,0.733333,0,0,0,0.119772,0.002186,0.063354,0.001156,0.404339,0.383307,0.47349,0.350739,0.585938,0.556737,0.168881,0.47349,0.29965,0.182347,path
0.162055,0.1875,0,0,0,0.036122,0.00096,0.029814,0.001154,0.158534,0.153971,0.200294,0.118472,0.78711,0.36643,0.278937,0.200294,0.440708,0.217422,brickface
0.383399,0.508333,0,0,0,0.019011,0.000174,0.008696,0.000236,0.006713,0,0.018409,0.000779,0.822266,0.185579,0.535104,0.018409,1,0.155849,foliage
0.770751,0.35,0,0,0,0.058935,0.001133,0.029814,0.000912,0.053189,0.049433,0.071429,0.037412,0.828125,0.228132,0.4611,0.071429,0.512566,0.21914,window
0.889328,0.541667,0,0,0,0.01711,0.000437,0.017391,0.000278,0.037697,0.051054,0.041237,0.021044,0.957031,0.153664,0.455408,0.046392,0.574074,0.372382,brickface
0.27668,0.425,0,0,0,0.024715,0.000243,0.016149,0.00011,0.038213,0.051864,0.041973,0.021044,0.958984,0.154846,0.451613,0.047128,0.580026,0.371118,brickface
0.565217,0.658333,0,0,0,0.038023,0.000786,0.031056,0.000536,0.119288,0.098055,0.119293,0.139516,0.679688,0.156028,0.721062,0.131811,0.324965,0.994904,grass
0.059289,0.166667,0,0,0,0.024715,0.000447,0.018634,0.000521,0.85722,0.807134,0.93299,0.823845,0.22461,0.696217,0.296014,0.93299,0.213813,0.120783,sky
0.486166,0.075,0,0,0,0.034221,0.000717,0.023602,0.000655,0.89543,0.869529,0.946981,0.864376,0.386719,0.588652,0.311195,0.946981,0.165616,0.130823,sky
0.620553,0.583333,0,0,0,0.013308,0.000393,0.099379,0.002916,0.132456,0.111021,0.121502,0.164457,0.673829,0.106383,0.806451,0.155375,0.352606,0.939131,grass
0.743083,0.4,0,0,0,0.091255,0.000705,0.018634,0.000521,0.193649,0.170988,0.232695,0.173811,0.644531,0.361702,0.425047,0.232695,0.332407,0.142607,window
0.940711,0.4625,0,0,0,0.009506,0.000063,0.007453,0.000128,0.03873,0.051054,0.044183,0.021044,0.949219,0.163121,0.447818,0.047864,0.581349,0.353817,brickface
0.407115,0.383333,0,0.333333,0,0.032319,0.000538,0.014907,0.00043,0.410536,0.380875,0.48159,0.36321,0.521485,0.567376,0.214422,0.48159,0.287394,0.164669,cement
0.541502,0.7375,0,0,0,0.070342,0.001368,0.024845,0.000541,0.420605,0.3906,0.496318,0.368666,0.515626,0.592199,0.180266,0.496318,0.299511,0.168717,path
0.126482,0.5,0,0,0,0.015209,0.000814,0.02236,0.00079,0.005164,0.001621,0.011782,0.001559,0.845703,0.160756,0.552182,0.011782,0.407407,0.160731,foliage
0.916996,0.391667,0,0,0,0.214829,0.002333,0.021118,0.000536,0.105862,0.092383,0.131075,0.091972,0.740234,0.274232,0.472486,0.131075,0.353768,0.149364,window
0.561265,0.0375,0,0,0,0.038023,0.000757,0.028571,0.00067,0.887684,0.851704,0.94551,0.859704,0.316406,0.617021,0.333966,0.94551,0.181475,0.121382,sky
0.106719,0.7375,0,0,0,0.04943,0.001509,0.114286,0.013711,0.208883,0.19611,0.241531,0.186282,0.710938,0.334515,0.404175,0.241531,0.275863,0.162564,path
0.826087,0.258333,0,0,0,0.045627,0.000974,0.02236,0.000589,0.294605,0.295787,0.313696,0.272797,0.783203,0.289598,0.406072,0.313696,0.178226,0.194732,cement
0.01581,0.445833,0,0,0,0.007605,0.000075,0.007453,0.000064,0.006455,0,0.016937,0.001559,0.824219,0.179669,0.542694,0.016937,1,0.147721,foliage
0.897233,0.045833,0,0,0,0.038023,0.000868,0.031056,0.000704,0.346245,0.311994,0.416789,0.303974,0.509765,0.549646,0.254269,0.416789,0.319474,0.1558,cement
0.652174,0.595833,0,0,0,0.003802,0.00003,0.009938,0.000053,0.004906,0.001621,0.012518,0,0.847656,0.165485,0.542694,0.012518,1,0.173744,window
0.146245,0.7875,0,0,0,0.117871,0.002143,0.077019,0.000869,0.390138,0.357375,0.46539,0.341387,0.505859,0.582743,0.204933,0.46539,0.309826,0.163133,path
0.407115,0.533333,0,0,0,0.011407,0.000521,0.007453,0.000372,0.004648,0,0.011782,0.001559,0.837891,0.163121,0.555977,0.011782,1,0.151199,foliage
0.067194,0.545833,0,0,0,0.026616,0.000657,0.006211,0.00011,0.003873,0.00081,0.008836,0.001559,0.84961,0.152482,0.56167,0.008836,0.416667,0.149704,foliage
0.964427,0.029167,0,0,0,0.034221,0.001031,0.026087,0.000152,0.961274,0.958669,0.980118,0.942317,0.533204,0.446809,0.396584,0.980118,0.111218,0.13015,sky
0.802372,0.7625,0,0,0,0.089354,0.001942,0.114286,0.002465,0.286084,0.269854,0.329897,0.25487,0.660157,0.406619,0.337761,0.329897,0.275415,0.169058,path
0.110672,0.291667,0,0.333333,0,0.089354,0.003783,0.06087,0.002706,0.142784,0.146678,0.173048,0.10678,0.853516,0.307329,0.309297,0.173048,0.412662,0.250095,brickface
0.312253,0.4375,0,0,0,0.051331,0.001647,0.034783,0.00063,0.151304,0.154781,0.182622,0.114575,0.847656,0.314421,0.303605,0.182622,0.407364,0.238943,brickface
0.438735,0.454167,0,0.333333,0,0.045627,0.001041,0.049689,0.001232,0.150272,0.128039,0.189985,0.129384,0.66211,0.35461,0.419355,0.189985,0.38675,0.146682,window
0.960474,0.7625,0,0,0,0.058935,0.001153,0.050932,0.00147,0.34676,0.324149,0.408689,0.302415,0.59375,0.508274,0.239089,0.408689,0.300853,0.173011,path
0.395257,0.254167,0,0,0,0.085551,0.004784,0.039752,0.004542,0.184612,0.171799,0.237113,0.141075,0.71875,0.42435,0.252372,0.237113,0.436895,0.202741,brickface
0.73913,0.258333,0,0,0,0.036122,0.000937,0.050932,0.001438,0.280146,0.26013,0.329897,0.246297,0.634765,0.433806,0.318786,0.329897,0.297096,0.167406,cement
0.335968,0.091667,0,0,0,0.039924,0.000616,0.013665,0.000142,0.766076,0.705835,0.865245,0.717844,0.181642,0.787234,0.19165,0.865245,0.258604,0.131653,sky
0.72332,0.1375,0,0,0,0.01711,0.000123,0.02236,0.000545,0.690165,0.619936,0.804857,0.635228,0.134766,0.843971,0.146111,0.804857,0.300019,0.133631,sky
0.814229,0.858333,0,0,0,0.026616,0.000478,0.045963,0.000655,0.043894,0.036467,0.027982,0.06781,0.804688,0.061466,0.751423,0.064065,0.582612,0.84959,grass
0.102767,0.395833,0,0,0,0.020913,0.000422,0.028571,0.00043,0.015234,0.002431,0.032401,0.009353,0.775391,0.213948,0.535104,0.032401,0.95172,0.130326,foliage
0.541502,0.158333,0,0,0,0.036122,0.000937,0.039752,0.00077,0.864707,0.824959,0.930777,0.831645,0.296875,0.6513,0.297913,0.930777,0.194622,0.125361,sky
0.288538,0.491667,0,0,0,0.007605,0.00003,0.002484,0.000021,0.003615,0,0.010309,0,0.845703,0.160756,0.552182,0.010309,1,0.160731,foliage
0.011858,0.7375,0,0,0,0.053232,0.000694,0.052174,0.000548,0.109734,0.097245,0.092783,0.139516,0.746094,0.072104,0.79127,0.131811,0.342408,0.888264,grass
0.667984,0.533333,0,0,0,0.036122,0.000512,0.016149,0.000206,0.029176,0.013776,0.056701,0.014809,0.751953,0.267139,0.472486,0.056701,0.786175,0.155115,window
0.142292,0.208333,0,0,0,0.020913,0.000495,0.012422,0.000196,0.760394,0.69368,0.850513,0.727981,0.136719,0.742317,0.3074,0.850513,0.258869,0.114532,sky
0.359684,0.1375,0,0.333333,0,0.024715,0.000579,0.026087,0.000757,0.863159,0.827388,0.915315,0.840996,0.326172,0.583924,0.377609,0.915315,0.178428,0.114552,sky
0.561265,0.729167,0,0,0,0.079848,0.002338,0.062112,0.001823,0.383167,0.358185,0.449926,0.33593,0.564453,0.540189,0.216319,0.449926,0.296251,0.171863,path
0.173913,0.575,0,0,0,0.085551,0.00335,0.014907,0.000192,0.117222,0.098055,0.157585,0.092751,0.695313,0.349882,0.394686,0.157585,0.453341,0.164988,cement
0.667984,0.2125,0,0,0,0,0,0,0,0,0,0,0,0.873047,0.12766,0.578747,0,0,0.515167,window
0,0.141667,0,0,0,0.030418,0.000459,0.024845,0.000329,0.856446,0.806325,0.927834,0.827745,0.22461,0.67494,0.33017,0.927834,0.210174,0.115892,sky
0.44664,0.758333,0,0,0,0.108365,0.002486,0.100621,0.001804,0.403048,0.372772,0.480854,0.349181,0.519532,0.598109,0.166983,0.480854,0.314092,0.170987,path
0.268775,0.308333,0,0.333333,0,0.106464,0.008276,0.088199,0.00681,0.149497,0.149108,0.186303,0.110678,0.820313,0.340426,0.288425,0.186303,0.437404,0.234265,brickface
0.407115,0.470833,0,0,0,0.020913,0.000153,0.014907,0.000224,0.043119,0.055916,0.048601,0.024941,0.951172,0.164303,0.444023,0.052283,0.550044,0.353072,brickface
0.29249,0.3625,0,0,0,0.134981,0.046224,0.104348,0.02834,0.038472,0.017018,0.069219,0.0265,0.705078,0.28487,0.489563,0.069219,0.872146,0.130512,foliage
0.454545,0.475,0,0,0,0.096958,0.000729,0.045963,0.000414,0.424736,0.383307,0.506627,0.37724,0.431641,0.622932,0.212525,0.506627,0.317206,0.15216,cement
0.245059,0.791667,0,0,0,0.04943,0.000926,0.021118,0.000398,0.054222,0.045381,0.036819,0.08106,0.791016,0.056738,0.772295,0.076583,0.543201,0.850749,grass
0.221344,0.445833,0,0,0,0.096958,0.005546,0.027329,0.00063,0.135296,0.113453,0.175994,0.113016,0.669921,0.355791,0.409867,0.175994,0.418712,0.1518,window
0.656126,0.741667,0,0,0,0.129278,0.002256,0.084472,0.001114,0.407179,0.374392,0.480117,0.360872,0.500001,0.57565,0.222011,0.480117,0.295523,0.159559,path
0.26087,0.208333,0,0,0,0.036122,0.000512,0.018634,0.000281,0.165505,0.165316,0.20324,0.125487,0.816406,0.3487,0.278937,0.20324,0.415751,0.227322,brickface
0.924901,0.291667,0,0,0,0.047529,0.000422,0.017391,0.000214,0.024271,0.007293,0.049337,0.01403,0.742188,0.254137,0.502846,0.049337,0.881217,0.134716,foliage
0.126482,0.429167,0,0,0,0.019011,0.000075,0.01118,0.000152,0.112316,0.0859,0.159794,0.087295,0.644531,0.382979,0.390892,0.159794,0.510924,0.15148,window
0.549407,0.4375,0,0.333333,0,0.060837,0.001233,0.012422,0.000362,0.326363,0.308752,0.374816,0.291504,0.63672,0.438534,0.309297,0.374816,0.264563,0.170171,cement
0.29249,0.225,0,0,0,0.085551,0.00112,0.034783,0.000674,0.402531,0.367909,0.48159,0.351519,0.488281,0.604019,0.187856,0.48159,0.314783,0.163566,cement
0.150198,0.416667,0,0,0,0.024715,0.000377,0.019876,0.00031,0.042086,0.051054,0.05081,0.024162,0.923828,0.179669,0.44592,0.052283,0.562919,0.316191,brickface
0.841897,0.9375,0,0,0,0.01711,0.000258,0.084472,0.000983,0.115673,0.094003,0.097202,0.155884,0.677735,0.066194,0.867172,0.147275,0.419597,0.905527,grass
0.055336,0.741667,0,0,0,0.051331,0.00093,0.044721,0.002084,0.223858,0.206645,0.267304,0.194076,0.673829,0.390071,0.351044,0.267304,0.315363,0.170279,path
0.225296,0.920833,0,0,0,0.085551,0.001468,0.057143,0.000598,0.102505,0.081848,0.089838,0.135619,0.689454,0.091017,0.815939,0.128129,0.423483,0.921802,grass
0.474308,0.4,0,0,0,0.053232,0.000881,0.294411,0.004031,0.376454,0.360616,0.427098,0.337489,0.632812,0.460993,0.277039,0.427098,0.252669,0.176096,cement
0.482213,0.345833,0,0,0,0.01711,0.000078,0.018634,0.000024,0.149497,0.123177,0.201767,0.119251,0.632812,0.414894,0.351044,0.201767,0.452182,0.15962,window
0.098814,0.233333,0,0.333333,0,0.034221,0.000896,0.054658,0.002298,0.139427,0.142626,0.171576,0.102104,0.84961,0.315603,0.299811,0.171576,0.436939,0.240473,brickface
0.509881,0.558333,0,0,0,0,0,0,0,0,0,0,0,0.873047,0.12766,0.578747,0,0,0.515167,window
0.126482,0.3625,0,0,0,0.020913,0.000617,0.029814,0.000663,0.014201,0.004052,0.023564,0.01403,0.794922,0.176123,0.57685,0.023564,0.883333,0.083816,foliage
0.106719,0.804167,0,0,0,0.068441,0.001779,0.07205,0.001503,0.389622,0.363047,0.458762,0.341387,0.550782,0.553191,0.208728,0.458762,0.29685,0.170383,path
0.679842,0.329167,0,0,0,0.022814,0.000269,0.018634,0.000248,0.163956,0.126418,0.228276,0.131722,0.546875,0.47636,0.335864,0.228276,0.496719,0.145832,window
0.090909,0.670833,0,0,0,0.039924,0.00092,0.218634,0.003935,0.293055,0.277148,0.333578,0.265003,0.660157,0.392435,0.360531,0.333578,0.249836,0.152385,path
0.086957,0.491667,0,0,0,0.01711,0.000078,0.008696,0.00011,0.003615,0,0.010309,0,0.845703,0.160756,0.552182,0.010309,0.777778,0.160731,foliage
0.185771,0.533333,0,0,0,0.08365,0.001696,0.040994,0.000757,0.336174,0.310373,0.400589,0.292283,0.574219,0.517731,0.242884,0.400589,0.310818,0.16922,cement
0.264822,0.4625,0,0,0,0.095057,0.002046,0.034783,0.00144,0.14046,0.103728,0.206185,0.106001,0.560547,0.477541,0.320683,0.206185,0.54583,0.166524,foliage
0.509881,0.0875,0,0,0,0.038023,0.001056,0.018634,0.000604,0.414667,0.395462,0.469808,0.374122,0.595703,0.491726,0.263758,0.469808,0.249001,0.169528,cement
0.213439,0.825,0,0.333333,0,0.062738,0.001306,0.031056,0.00072,0.087271,0.075364,0.068483,0.118472,0.757813,0.05792,0.802656,0.111929,0.407904,0.870419,grass
0.3083,0.070833,0,0,0,0.146388,0.003793,0.018634,0.000475,0.435065,0.389789,0.5243,0.383475,0.400391,0.660756,0.182164,0.5243,0.324556,0.152251,cement
0.067194,0.329167,0,0,0,0.036122,0.000377,0.014907,0.00016,0.019623,0.004052,0.045655,0.007015,0.753906,0.257683,0.485768,0.045655,0.926146,0.148899,foliage
0.735178,0.704167,0,0,0,0.138784,0.003009,0.074534,0.002306,0.432741,0.400325,0.513991,0.37724,0.49414,0.621749,0.1537,0.513991,0.306906,0.16923,path
0.146245,0.5625,0,0,0,0.01711,0.000123,0.014907,0.000192,0.035631,0.041329,0.044919,0.020265,0.902344,0.180851,0.464895,0.045655,0.571429,0.302215,brickface
0.577075,0.166667,0,0.333333,0,0.039924,0.001109,0.03354,0.001403,0.880713,0.853323,0.929306,0.854247,0.38086,0.570922,0.34535,0.929306,0.165549,0.124806,sky
